Location,State,Lat,Long
TERR DE BORINQUEN,PR,18.23,-66.03
URB BALCONES LAS CATALINAS,PR,18.23,-66.03
URB BATISTA,PR,18.23,-66.03
URB BILLY SUAREZ,PR,18.23,-66.03
URB BONNEVILLE GDNS,PR,18.23,-66.03
URB BONNEVILLE TERR,PR,18.23,-66.03
URB BORINQUEN VALLEY,PR,18.23,-66.03
URB BROOKLYN,PR,18.23,-66.03
URB BUNKER,PR,18.23,-66.03
URB CAGUAS MILENIO,PR,18.23,-66.03
URB CAGUAS NORTE,PR,18.23,-66.03
URB CARIBE GDNS,PR,18.23,-66.03
URB CONDADO MODERNO,PR,18.23,-66.03
URB CONDADO VIEJO,PR,18.23,-66.03
URB EL RINCON DE LA SERRANIA,PR,18.23,-66.03
URB EL VERDE,PR,18.23,-66.03
URB GRILLO,PR,18.23,-66.03
URB JOSE DELGADO,PR,18.23,-66.03
URB JOSE MERCADO,PR,18.23,-66.03
URB LA GRANJA,PR,18.23,-66.03
URB LA MESETA,PR,18.23,-66.03
URB MACHIN,PR,18.23,-66.03
URB MARIOLGA,PR,18.23,-66.03
URB MONTICIELO,PR,18.23,-66.03
URB MYRLENA,PR,18.23,-66.03
URB NAZARIO,PR,18.23,-66.03
URB NOTRE DAME,PR,18.23,-66.03
URB PARADISE,PR,18.23,-66.03
URB SAN ALFONSO,PR,18.23,-66.03
URB SAN MARCOS,PR,18.23,-66.03
URB SAN PEDRO EST,PR,18.23,-66.03
URB SAN RAFAEL,PR,18.23,-66.03
URB SANTA CECILIA,PR,18.23,-66.03
URB SANTA ELVIRA,PR,18.23,-66.03
URB SANTA JUANA,PR,18.23,-66.03
URB SANTA JUANA 2,PR,18.23,-66.03
URB SANTA JUANA 3,PR,18.23,-66.03
URB SANTA JUANA 4,PR,18.23,-66.03
URB SANTA ROSA,PR,18.23,-66.03
URB SANTO DOMINGO,PR,18.23,-66.03
URB VERDE SUR,PR,18.23,-66.03
VALLE DE SAN LUIS,PR,18.23,-66.03
VALLES DEL LAGO,PR,18.23,-66.03
VILLA BLANCA,PR,18.23,-66.03
VILLA BORINQUEN,PR,18.23,-66.03
VILLA CARMEN,PR,18.23,-66.03
VILLA DE CASTRO,PR,18.23,-66.03
VILLA DEL REY 1,PR,18.23,-66.03
VILLA DEL REY 2,PR,18.23,-66.03
VILLA GUADALUPE,PR,18.23,-66.03
VILLA LAS MERCEDES,PR,18.23,-66.03
VILLA LOS CRIOLLOS,PR,18.23,-66.03
VILLA MARIA,PR,18.23,-66.03
VILLA TURABO,PR,18.23,-66.03
VILLA VICTORIA,PR,18.23,-66.03
VILLAS DE RIO VERDE,PR,18.23,-66.03
VILLAS DEL RIO VERDE,PR,18.23,-66.03
ALT DE LA FUENTE,PR,18.23,-66.03
ALT VILLA DEL REY,PR,18.23,-66.03
BOSQUE VERDE,PR,18.23,-66.03
CHALETS DE BAIROA,PR,18.23,-66.03
CIUDAD JARDIN DE BAIROA,PR,18.23,-66.03
EST DE BAIROA,PR,18.23,-66.03
EST DEGETAU,PR,18.23,-66.03
EST DEL TURABO,PR,18.23,-66.03
HACIENDA SAN JOSE,PR,18.23,-66.03
JARD DE CAGUAS,PR,18.23,-66.03
MANS DE CIUDAD JARDIN BAIROA,PR,18.23,-66.03
MANS EL PARAISO,PR,18.23,-66.03
PARQ DEL MONTE,PR,18.23,-66.03
PARQ DEL MONTE 2,PR,18.23,-66.03
PARQ DEL RIO,PR,18.23,-66.03
PARQ LAS HACIENDAS,PR,18.23,-66.03
SECT ALTOS DE LA FUENTE,PR,18.23,-66.03
URB ALTOMONTE,PR,18.23,-66.03
URB ALTOS DE LA FUENTE,PR,18.23,-66.03
URB ARBOLADA,PR,18.23,-66.03
URB BAIROA GOLDEN GATE II,PR,18.23,-66.03
URB BAIROA GOLDEN GATES,PR,18.23,-66.03
URB BAIROA PARK,PR,18.23,-66.03
URB BONNEVILLE HTS,PR,18.23,-66.03
URB BONNEVILLE MANOR,PR,18.23,-66.03
URB BONNEVILLE VLY,PR,18.23,-66.03
URB DIAMOND VLG,PR,18.23,-66.03
URB EL VALLE,PR,18.23,-66.03
URB IDAMARIS GDNS,PR,18.23,-66.03
URB ISLABELLA,PR,18.23,-66.03
URB LA RESERVA,PR,18.23,-66.03
URB LAS NUBES,PR,18.23,-66.03
URB MIRADOR DE BAIROA,PR,18.23,-66.03
URB PALMAS DEL TURABO,PR,18.23,-66.03
URB TERRALINDA,PR,18.23,-66.03
URB TURABO GDNS,PR,18.23,-66.03
VALLE TOLIMA,PR,18.23,-66.03
VALLE VERDE,PR,18.23,-66.03
VILLA CALIZ,PR,18.23,-66.03
VILLA DEL REY 3,PR,18.23,-66.03
VILLA DEL REY 4,PR,18.23,-66.03
VILLA DEL REY 5,PR,18.23,-66.03
VILLA ESPERANZA,PR,18.23,-66.03
VILLA HERMOSA,PR,18.23,-66.03
VILLA NUEVA,PR,18.23,-66.03
CAMUY,PR,18.48,-66.84
ALTS EL MAESTRO,PR,18.48,-66.84
SECT PENA,PR,18.48,-66.84
URB DEL CARMEN,PR,18.48,-66.84
URB LAS VEREDAS,PR,18.48,-66.84
URB LINDA VISTA,PR,18.48,-66.84
VISTAS DE CAMUY,PR,18.48,-66.84
CANOVANAS,PR,18.37,-65.9
BRISAS DE CANOVANAS,PR,18.37,-65.9
BRISAS DE LOIZA,PR,18.37,-65.9
CIUDAD JARDIN DE CANOVANAS,PR,18.37,-65.9
EXT VILLAS DE LOIZA,PR,18.37,-65.9
HACIENDAS DE CANOVANAS,PR,18.37,-65.9
JARD DE CANOVANAS,PR,18.37,-65.9
JARD DE PALMAREJO,PR,18.37,-65.9
PARC CENTRAL,PR,18.37,-65.9
PARC MONTEVERDE,PR,18.37,-65.9
PARC SAN ISIDRO,PR,18.37,-65.9
PARC VILLA DELICIAS,PR,18.37,-65.9
QTAS DE CANOVANAS,PR,18.37,-65.9
QTAS JARD DE PARMAREJO,PR,18.37,-65.9
URB COUNTRY VIEW,PR,18.37,-65.9
URB DEL PILAR,PR,18.37,-65.9
URB LAS HACIENDAS CANOVANAS,PR,18.37,-65.9
URB LAS VEGAS,PR,18.37,-65.9
URB LOIZA VALLEY,PR,18.37,-65.9
URB LOS EUCALIPTOS,PR,18.37,-65.9
URB PUEBLO INDIO,PR,18.37,-65.9
URB RIVER GDNS,PR,18.37,-65.9
URB RIVER PLANTATION,PR,18.37,-65.9
URB RIVER VALLEY,PR,18.37,-65.9
URB RIVER VALLEY PK,PR,18.37,-65.9
URB TOWN PK,PR,18.37,-65.9
URB USUBAL,PR,18.37,-65.9
VILLAS DE LOIZA,PR,18.37,-65.9
VILLAS DEL ESTE,PR,18.37,-65.9
VILLAS DORADAS,PR,18.37,-65.9
CAROLINA,PR,18.4,-65.98
EXT VILLAMAR,PR,18.4,-65.98
ISLA VERDE,PR,18.4,-65.98
PARQ DE ISLA VERDE,PR,18.4,-65.98
URB ATLANTIC VIEW,PR,18.4,-65.98
URB BIASCOCHEA,PR,18.4,-65.98
URB CAPE SEA VLG,PR,18.4,-65.98
URB LA MARINA,PR,18.4,-65.98
URB LOS ANGELES,PR,18.4,-65.98
URB PALMAR NORTE,PR,18.4,-65.98
URB PALMAR SUR,PR,18.4,-65.98
VILLA LA MARINA,PR,18.4,-65.98
ALT DE VILLA FONTANA,PR,18.4,-65.98
QTAS DE COUNTRY CLUB,PR,18.4,-65.98
URB COUNTRY CLUB,PR,18.4,-65.98
URB EL COMANDANTE,PR,18.4,-65.98
VILLA FLORES,PR,18.4,-65.98
JARD DE COUNTRY CLUB,PR,18.4,-65.98
LA CERAMICA IND PARK,PR,18.4,-65.98
MANS DE VISTAMAR MARINA,PR,18.4,-65.98
URB BAHIA VISTAMAR,PR,18.4,-65.98
URB CASTELLANA GDN,PR,18.4,-65.98
URB CLUB COSTA MARINA 1,PR,18.4,-65.98
URB CLUB COSTA MARINA 2,PR,18.4,-65.98
URB EDUARDO J SALDANA,PR,18.4,-65.98
URB SABANA GDNS,PR,18.4,-65.98
URB VISTAMAR,PR,18.4,-65.98
URB VISTAMAR MARINA,PR,18.4,-65.98
VALLE ARRIBA HTS,PR,18.4,-65.98
VILLA ASTURIAS,PR,18.4,-65.98
VILLA FONTANA,PR,18.4,-65.98
VILLA FONTANA PK,PR,18.4,-65.98
VILLA VENECIA,PR,18.4,-65.98
BDA BUENA VISTA,PR,18.4,-65.98
BO BUENA VISTA,PR,18.4,-65.98
BO VILLA CARIDAD,PR,18.4,-65.98
BO VILLA ESPERANZA,PR,18.4,-65.98
BO VILLA JUSTICIA,PR,18.4,-65.98
EST DE SAN FERNANDO,PR,18.4,-65.98
JARD DE BORINQUEN,PR,18.4,-65.98
JARD DE BUENA VISTA,PR,18.4,-65.98
URB JOSE S QUINONES,PR,18.4,-65.98
URB ROSA MARIA,PR,18.4,-65.98
VILLA CAROLINA,PR,18.4,-65.98
VILLA COOPERATIVA,PR,18.4,-65.98
ALT DE PARQ ECUESTRE,PR,18.4,-65.98
BO BUENAVENTURA,PR,18.4,-65.98
BO COLO,PR,18.4,-65.98
BO MARTIN GONZALEZ,PR,18.4,-65.98
BRISAS DE METROPOLIS,PR,18.4,-65.98
CIUDAD CENTRAL II,PR,18.4,-65.98
CIUDAD CENTRO,PR,18.4,-65.98
CIUDAD JARDIN,PR,18.4,-65.98
EST DEL PARQUE,PR,18.4,-65.98
EXT PARQ ECUESTRE,PR,18.4,-65.98
HACIENDA REAL,PR,18.4,-65.98
JARD DE CAROLINA,PR,18.4,-65.98
LOMA ALTA,PR,18.4,-65.98
LOMAS DE CAROLINA,PR,18.4,-65.98
MANS DE CAROLINA,PR,18.4,-65.98
PARQ ECUESTRE,PR,18.4,-65.98
PARQ IND JN MATOS,PR,18.4,-65.98
PASEO DE LA ALHAMBRA,PR,18.4,-65.98
PASEO DEL PRADO,PR,18.4,-65.98
QTAS DE CAMPECHE,PR,18.4,-65.98
TERRS DE CAROLINA,PR,18.4,-65.98
URB CAROLINA ALTA,PR,18.4,-65.98
URB COLINITAS DE CACAO,PR,18.4,-65.98
URB LOS ARBOLES,PR,18.4,-65.98
URB LOS CACIQUES,PR,18.4,-65.98
URB LOS COLOBOS,PR,18.4,-65.98
URB METROPOLIS,PR,18.4,-65.98
URB MOUNTAIN VW,PR,18.4,-65.98
URB PARAISO DE CAROLINA,PR,18.4,-65.98
URB REMANZO TAINO,PR,18.4,-65.98
URB ROLLING HLS,PR,18.4,-65.98
VILLA DE SAN ANTON,PR,18.4,-65.98
VILLA DEL MADRIGAL,PR,18.4,-65.98
CAYEY,PR,18.11,-66.16
BDA CANTERA,PR,18.11,-66.16
BDA NUEVA,PR,18.11,-66.16
BDA POLVORIN,PR,18.11,-66.16
BDA VIEQUES,PR,18.11,-66.16
BO BEATRIZ,PR,18.11,-66.16
BO CARITE,PR,18.11,-66.16
BO CEDRO,PR,18.11,-66.16
BO FARALLON,PR,18.11,-66.16
BO GUAVATE,PR,18.11,-66.16
BO LAS PARRAS,PR,18.11,-66.16
BO MOGOTE,PR,18.11,-66.16
BO MONTELLANO,PR,18.11,-66.16
BO VEGAS,PR,18.11,-66.16
CHALETS LAS MUESAS,PR,18.11,-66.16
COLINAS DE CAYEY,PR,18.11,-66.16
COMUNIDAD SAN TOMAS,PR,18.11,-66.16
EST DE LAS BRUMAS,PR,18.11,-66.16
EST DE MONTE RIO,PR,18.11,-66.16
HACIENDA VISTAS DEL PLATA,PR,18.11,-66.16
JARD DE CAYEY,PR,18.11,-66.16
JARD DEL CARIBE,PR,18.11,-66.16
MANS DE LOS CEDROS,PR,18.11,-66.16
MANS MONTE VERDE,PR,18.11,-66.16
PARC EL POLVORIN,PR,18.11,-66.16
PASEO DE LAS BRUMAS,PR,18.11,-66.16
REPTO ANA LUISA,PR,18.11,-66.16
REPTO MONTELLANO,PR,18.11,-66.16
SECT SANCHEZ,PR,18.11,-66.16
URB APONTE,PR,18.11,-66.16
URB BOSCH,PR,18.11,-66.16
URB CARRASQUILLO,PR,18.11,-66.16
URB EL REMANSO,PR,18.11,-66.16
URB EL ROCIO,PR,18.11,-66.16
URB EL TORITO,PR,18.11,-66.16
URB FULLANA,PR,18.11,-66.16
URB LA PLANICIE,PR,18.11,-66.16
URB LA PLATA,PR,18.11,-66.16
URB LAS MUESAS,PR,18.11,-66.16
URB MINIMA,PR,18.11,-66.16
URB MIRADOR ECHEVARRI,PR,18.11,-66.16
URB MIRADOR UNIVERSITARIO,PR,18.11,-66.16
URB SAN MARTIN,PR,18.11,-66.16
VALLE ALTO,PR,18.11,-66.16
VILLA VERDE,PR,18.11,-66.16
